60534,5384229,50
60537,4844497,50
43193,945270,66
60536,4883019,56
60539,9306064,96
43197,1181955,85
43169,662819,90
43168,828027,68
35525,293108,28
43176,416363,62
22201,5462087,63
65919,2271319,123
22207,7142242,122
22206,19682660,154
22204,4811918,39
22093,1457321,76
12524,324147,27
18301,449072,62
12525,1013232,71
57292,1321595,121
35388,1448988,54
12520,1564260,91
60571,2147588,117
35385,4376614,169
12522,799397,83
12523,959065,29
43095,6497340,101
35380,2494427,40
83270,1,10
60560,8485175,142
22108,905518,82
8653,754793,45
60559,3626333,102
18285,531200,61
18286,80144,2
60556,4085203,114
65944,5917188,125
60555,19128771,134
60553,5399372,147
18283,542289,70
60552,6713657,136
60551,7150511,125
60549,15187136,78
65943,1725648,156
65942,7135131,131
22127,69320,6
83304,1,1
83306,130330,13
18267,1232217,94
29706,2126375,107
52953,4432318,123
22121,106800,9
83310,525565,65
8688,3015975,145
18252,1749439,120
35336,816072,75
39736,5137275,76
39738,2701146,107
29719,1330237,58
12499,9427197,153
29715,2238083,92
12498,9384320,116
29712,1306095,52
12497,4895485,60
22129,309018,20
47401,2003759,91
60639,129332,24
35453,69466,2
60637,1158785,102
57219,3064209,60
57220,851053,27
57221,2755331,54
35434,1301764,82
52907,358731,49
12472,656567,79
1002,1774040,145
25932,1999194,91
1005,1067012,72
12477,667760,81
993,945978,16
999,2118347,32
35417,2901423,64
52888,614276,47
12427,382779,45
64969,1895467,71
35419,3643870,39
35418,3535331,101
52891,1626229,58
64971,4929034,61
64974,863494,41
52887,5224172,104
64985,243194,41
64984,4838449,44
64987,6382286,116
57274,1120183,64
60653,632326,77
8620,1458515,83
60654,1351462,151
35396,3529641,31
64983,3411580,96
82619,594573,31
51469,49157,13
51467,3,2
82611,104661,6
16517,3311246,163
55350,3707349,173
9766,69473,92
166319,567891,51
82615,69555,7
67190,2561561,84
82613,63562,9
9762,1859999,79
36318,45209,9
64078,28787,14
36317,45216,9
16539,340943,66
9781,1374111,133
51479,192587,4
166331,1959227,53
48772,9653086,137
1104,71237,77
166332,748041,40
16530,1282670,69
71508,427515,73
82585,80096,5
5471,635234,50
51501,577950,36
5468,597376,41
51502,953062,47
9739,5585589,103
51499,6786198,124
82576,22618,0
51493,584393,50
51488,1433249,79
51489,2604,53
51490,1193707,51
51491,1255877,50
55315,51973,112
1151,912551,14
51517,5559980,73
48813,4710527,101
51518,1823685,78
55305,6964396,126
9754,1735713,106
20871,4588894,116
67140,6071,28
1136,1779627,22
71428,9506879,123
64017,1129654,139
71427,2884972,118
71425,5242985,105
48834,312489,17
48833,309549,18
48836,822421,64
48837,1369729,41
51567,7129795,122
64048,1195880,42
55379,588538,57
60165,3121602,48
67089,1351651,20
25221,317166,4
55372,320478,17
55375,100307,13
51569,4855113,53
64033,4792576,115
67077,1790094,62
51568,8330207,146
51570,5118372,85
25236,322502,59
82627,1018095,41
48662,833980,55
16389,419319,60
48663,821411,35
48660,42828,5
1222,642469,84
60384,272286,52
51598,898324,78
48668,453017,79
51597,882998,115
36170,325505,11
40058,893720,16
48666,926138,56
9908,674941,94
9917,220410,47
9913,102070,75
82476,1157227,64
71645,344707,56
1255,100149,10
60357,833830,72
