FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,COUNTY,STATE,LOCATION_TYPE,LATITUDE,LONGITUDE,COORD_RADIUS,END_OF_LINE                                                                                            
     999422,     30010,WQIN476             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1088889,77.0344444,            ,;              
     999423,     30192,WQIN476             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,    39.976,76.5848333,            ,;              
     999424,     30214,WQIN476             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9469444,76.5055556,            ,;              
     999425,     30221,WQIN476             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9008333,76.6477778,            ,;              
     999426,     30186,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9799167,76.8371389,            ,;              
     999427,     30053,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0030556,   76.6075,            ,;              
     999428,     30054,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0133333,76.5822222,            ,;              
     999429,     30027,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1791667,76.8358333,            ,;              
     999430,     30011,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0730556,77.0272222,            ,;              
     999431,     30046,WQIN477             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,     40.02,76.7536111,            ,;              
     999432,     30232,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8547778,76.5650556,            ,;              
     999433,     30246,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7927778,76.7311111,            ,;              
     999434,     30209,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9461111,76.7655556,            ,;              
     999435,     30239,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8019444,76.9872222,            ,;              
     999436,     30228,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8794444,76.7091667,            ,;              
     999437,     30217,WQIN481             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,   39.9175,76.5816667,            ,;              
     999438,     30190,WQIN488             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9683611,76.7109722,            ,;              
     999439,     30197,WQIN488             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9661667,76.7622222,            ,;              
     999440,     30206,WQIN488             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9511111,76.6861111,            ,;              
     999441,     30242,WQIN488             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7991667,76.9838889,            ,;              
     999442,     30260,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7344444,76.7011111,            ,;              
     999443,     30235,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8269444,76.8980556,            ,;              
     999444,     30183,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9908333,76.6702778,            ,;              
     999445,     30211,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,   39.9425,76.7086111,            ,;              
     999446,     30256,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7541667,76.5916667,            ,;              
     999447,     30195,WQIN495             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9516667,76.7838889,            ,;              
     999448,     30213,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9413889,76.5230556,            ,;              
     999449,     30031,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1350278,76.8052222,            ,;              
     999450,     30233,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8377778,76.6204722,            ,;              
     999451,     30038,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0797222,76.7052778,            ,;              
     999452,     30050,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0083333,76.8277778,            ,;              
     999453,     30244,WQIN497             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7936111,76.9686111,            ,;              
     999454,     30191,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,   39.9775,76.6669444,            ,;              
     999455,     30255,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7627778,76.5905556,            ,;              
     999456,     30202,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9631667,76.7283333,            ,;              
     999457,     30034,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1091667,76.9883333,            ,;              
     999458,     30023,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,     40.19,76.8902778,            ,;              
     999459,     30242,WQIN500             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7991667,76.9838889,            ,;              
     999460,     30216,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9302778,76.6093611,            ,;              
     999461,     30219,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,    39.915,76.6722222,            ,;              
     999462,     30229,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8697222,76.4852778,            ,;              
     999463,     30194,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9702778,76.5158333,            ,;              
     999464,     30255,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7627778,76.5905556,            ,;              
     999465,     30227,WQIN502             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8938889,76.6083333,            ,;              
     999466,     30135,WQIR767             ,         20,PW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.4952778,74.4497222,            ,;              
     999468,     30126,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5803889,74.2843611,            ,;              
     999469,     30117,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.6003333,74.3134167,            ,;              
     999470,     30128,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,    40.562,  74.32575,            ,;              
     999471,     30130,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5472222,74.2922222,            ,;              
     999472,     30129,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5659444,74.2523056,            ,;              
     999473,     30133,WQJS363             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5163611,74.3091389,            ,;              
     999480,     30122,WQJS365             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5866667,74.2427778,            ,;              
     999481,     30132,WQJS365             ,         20,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5332778,74.3069722,            ,;              
     999484,     30287,WQJX500             ,         15,PW   ,LOS ANGELES                                       ,CA                                                ,F    ,   34.2175,118.283139,            ,;              
     999487,     30288,WQJX501             ,         15,PW   ,LOS ANGELES                                       ,CA                                                ,F    ,34.3516667,117.675056,            ,;              
     999488,     30289,WQJX557             ,         15,PW   ,LOS ANGELES                                       ,CA                                                ,F    ,33.9555556,117.895056,            ,;              
     999490,     30171,WQKU273             ,         19,PW   ,NASSAU                                            ,NY                                                ,F    ,   40.6515,73.6120833,            ,;              
     999492,     30140,WQLZ558             ,         19,YW   ,MONMOUTH                                          ,NJ                                                ,F    ,40.4426389,74.1809444,            ,;              
     999493,     30172,WQLZ558             ,         19,YW   ,MONMOUTH                                          ,NJ                                                ,F    ,   40.3925,73.9868056,            ,;              
     999494,     30150,WQLZ558             ,         19,YW   ,MONMOUTH                                          ,NJ                                                ,F    ,  40.26425,74.2456944,            ,;              
     999495,     30154,WQLZ558             ,         19,YW   ,MONMOUTH                                          ,NJ                                                ,F    ,   40.1375,74.1313889,            ,;              
     999497,     30012,WQMC383             ,         18,YW   ,FRANKLIN                                          ,PA                                                ,F    ,    40.045,77.7535833,            ,;              
     999498,     30179,WQMC383             ,         18,YW   ,FRANKLIN                                          ,PA                                                ,F    ,39.9381389,77.6594444,            ,;              
     999499,     30009,WQMC383             ,         18,YW   ,FRANKLIN                                          ,PA                                                ,F    ,40.1459167,77.6521944,            ,;              
     999500,     30180,WQMC383             ,         18,YW   ,FULTON                                            ,PA                                                ,F    ,39.9236389,77.9553889,            ,;              
     999501,     30178,WQMC383             ,         18,YW   ,FRANKLIN                                          ,PA                                                ,F    ,39.9611111,77.4752778,            ,;              
     999502,     30176,WQMC383             ,         18,YW   ,FRANKLIN                                          ,PA                                                ,F    ,39.7565278,78.0233333,            ,;              
     999504,     30181,WQMC384             ,         18,YW   ,WASHINGTON                                        ,MD                                                ,F    ,39.6963889,   77.5125,            ,;              
     999506,     30061,WQMH982             ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9470833,74.2031389,            ,;              
     999507,     30059,WQMH982             ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9631944,74.2555556,            ,;              
     999508,     30058,WQMH982             ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9963889,     74.28,            ,;              
     999509,     30065,WQMH982             ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.8855556,74.2557778,            ,;              
     999511,     30130,WQMI704             ,         16,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5472222,74.2922222,            ,;              
     999512,     30133,WQMI704             ,         16,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5163611,74.3091389,            ,;              
     999513,     30117,WQMI704             ,         16,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.6003333,74.3134167,            ,;              
     999514,     30122,WQMI704             ,         16,YW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5866667,74.2427778,            ,;              
     999516,     30163,WPQE399             ,         14,YG   ,                                                  ,                                                  ,F    ,40.8422222,73.0258333,            ,;              
     999517,     30163,WPQE399             ,         15,YG   ,                                                  ,                                                  ,F    ,40.8422222,73.0258333,            ,;              
     999518,     30044,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,40.0381667,76.3060833,            ,;              
     999519,     30248,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,39.7938889,76.1772222,            ,;              
     999520,     30224,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,39.9019167,76.3464722,            ,;              
     999521,     30017,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,40.2709167,76.1036389,            ,;              
     999522,     30039,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,40.0727222,76.0210833,            ,;              
     999523,     30048,                    ,         15,     ,LANCASTER                                         ,PA                                                ,F    ,40.0201667,76.4866389,            ,;              
     999524,     30008,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,40.0011944,78.4008333,            ,;              
     999525,     30007,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,40.0128611,78.5538889,            ,;              
     999526,     30004,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,40.1742222,78.4828611,            ,;              
     999527,     30175,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,  39.83025,  78.54375,            ,;              
     999528,     30003,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,40.2366389,78.2905556,            ,;              
     999529,     30005,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,   40.0395,78.7338333,            ,;              
     999530,     30006,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,40.0172778,    78.504,            ,;              
     999531,     30174,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,39.8883333,78.7338333,            ,;              
     999532,     30177,                    ,         18,     ,BEDFORD                                           ,PA                                                ,F    ,39.6900833,78.5296944,            ,;              
     999533,     30101,                    ,         20,     ,ROSELLE PARK                                      ,NJ                                                ,F    ,40.6638611,74.2668889,            ,;              
     999534,     30119,                    ,         20,     ,ROSELLE PARK                                      ,NJ                                                ,F    ,   40.6115,74.2595833,            ,;              
     999535,     30002,                    ,         16,     ,TOWN OF SANDWICH                                  ,MA                                                ,F    ,    41.724,70.4583611,            ,;              
     999536,     30130,                    ,         19,     ,WOODBRIDGE TWP.                                   ,NJ                                                ,F    ,40.5472222,74.2922222,            ,;              
     999537,     30133,                    ,         19,     ,WOODBRIDGE TWP.                                   ,NJ                                                ,F    ,40.5163611,74.3091389,            ,;              
     999538,     30117,                    ,         19,     ,WOODBRIDGE TWP.                                   ,NJ                                                ,F    ,40.6003333,74.3134167,            ,;              
     999539,     30122,                    ,         19,     ,WOODBRIDGE TWP.                                   ,NJ                                                ,F    ,40.5866667,74.2427778,            ,;              
     999540,     30104,                    ,         19,     ,SOMERSET COUNTY                                   ,NJ                                                ,F    ,40.6470556,74.6215556,            ,;              
