FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
179045,3,CA                  ,40239,                  ,
179046,7,CA                  ,40239,                  ,
179047,15,CA                  ,40239,                  ,
179048,21,CA                  ,40238,                  ,
179049,23,CA                  ,40238,                  ,
179050,31,CA                  ,40238,                  ,
179051,36,CA                  ,40238,                  ,
179052,46,CA                  ,40219,                  ,
179053,48,CA                  ,40238,                  ,
179054,9,CA                  ,40079,                  ,
179055,41,CA                  ,40079,                  ,
179056,19,CA                  ,40224,                  ,
179057,35,CA                  ,40224,                  ,
179059,5,CA                  ,40222,                  ,
179074,41,MX                  ,70038,                  ,
179075,39,MX                  ,70091,                  ,
179076,39,MX                  ,70035,                  ,
179078,41,MX                  ,70029,                  ,
179079,41,MX                  ,70148,                  ,
179084,9,CA                  ,40222,                  ,
179085,11,CA                  ,40220,                  ,
179086,21,CA                  ,40220,                  ,
179087,29,CA                  ,40222,                  ,
179088,31,CA                  ,40221,                  ,
179089,49,CA                  ,40222,                  ,
179090,5,CA                  ,40273,                  ,
179091,9,CA                  ,40273,                  ,
179092,10,CA                  ,40273,                  ,
179094,13,CA                  ,40273,                  ,
179095,24,CA                  ,40270,                  ,
179096,29,CA                  ,40270,                  ,
179097,41,CA                  ,40270,                  ,
179098,42,CA                  ,40270,                  ,
179099,44,CA                  ,40273,                  ,
179100,48,CA                  ,40273,                  ,
179101,34,CA                  ,40266,                  ,
179118,5,CA                  ,40266,                  ,
179119,3,CA                  ,40267,                  ,
179120,7,CA                  ,40267,                  ,
179121,14,CA                  ,40267,                  ,
179122,16,CA                  ,40268,                  ,
179123,44,CA                  ,40268,                  ,
179125,34,CA                  ,40379,                  ,
179126,16,CA                  ,40151,                  ,
179127,17,CA                  ,40153,                  ,
179128,25,CA                  ,40150,                  ,
179129,26,CA                  ,40153,                  ,
179130,30,CA                  ,40152,                  ,
179131,36,CA                  ,40151,                  ,
179132,8,CA                  ,40272,                  ,
179133,20,CA                  ,40271,                  ,
179134,21,CA                  ,40280,                  ,
179135,23,CA                  ,40280,                  ,
179136,30,CA                  ,40272,                  ,
179137,51,CA                  ,40271,                  ,
179138,47,CA                  ,40236,                  ,
179139,13,CA                  ,40082,                  ,
179140,15,CA                  ,40081,                  ,
179141,38,CA                  ,40081,                  ,
179142,41,CA                  ,40082,                  ,
179143,44,CA                  ,40252,                  ,
179144,47,CA                  ,40252,                  ,
179145,9,CA                  ,40024,                  ,
179146,51,CA                  ,40023,                  ,
179147,38,CA                  ,40237,                  ,
179148,2,CA                  ,40033,                  ,
179149,8,CA                  ,40033,                  ,
179150,22,CA                  ,40033,                  ,
179151,23,CA                  ,40034,                  ,
179152,36,CA                  ,40033,                  ,
179153,44,CA                  ,40034,                  ,
179154,4,CA                  ,40143,                  ,
179155,6,CA                  ,40143,                  ,
179156,11,CA                  ,40143,                  ,
179157,13,CA                  ,40143,                  ,
179158,22,CA                  ,40144,                  ,
179159,29,CA                  ,40143,                  ,
179160,39,CA                  ,40144,                  ,
179161,43,CA                  ,40142,                  ,
179162,50,CA                  ,40143,                  ,
179163,2,CA                  ,40241,                  ,
179164,5,CA                  ,40241,                  ,
179165,8,CA                  ,40241,                  ,
179166,14,CA                  ,40241,                  ,
179167,21,CA                  ,40241,                  ,
179168,24,CA                  ,40241,                  ,
179169,45,CA                  ,40241,                  ,
179170,51,CA                  ,40241,                  ,
179171,27,CA                  ,40269,                  ,
179172,31,CA                  ,40269,                  ,
179173,29,CA                  ,40259,                  ,
179174,30,CA                  ,40259,                  ,
179175,14,CA                  ,40030,                  ,
179176,15,CA                  ,40030,                  ,
179177,19,CA                  ,40030,                  ,
179178,31,CA                  ,40030,                  ,
179179,23,CA                  ,40141,                  ,
179180,31,CA                  ,40141,                  ,
179181,27,CA                  ,40146,                  ,
179182,41,CA                  ,40146,                  ,
179183,28,CA                  ,40231,                  ,
179184,38,CA                  ,40231,                  ,
179185,50,CA                  ,40231,                  ,
179186,3,CA                  ,40256,                  ,
179187,7,CA                  ,40256,                  ,
179188,9,CA                  ,40254,                  ,
179189,18,CA                  ,40256,                  ,
179190,21,CA                  ,40254,                  ,
179191,38,CA                  ,40255,                  ,
179192,50,CA                  ,40255,                  ,
179193,15,CA                  ,40253,                  ,
179194,17,CA                  ,40253,                  ,
179195,6,CA                  ,40249,                  ,
179196,8,CA                  ,40250,                  ,
179197,43,CA                  ,40247,                  ,
179198,51,CA                  ,40250,                  ,
179199,3,CA                  ,40248,                  ,
179200,12,CA                  ,40248,                  ,
179201,28,CA                  ,40248,                  ,
179202,5,CA                  ,40042,                  ,
179203,10,CA                  ,40042,                  ,
179204,11,CA                  ,40042,                  ,
179205,50,CA                  ,40042,                  ,
179206,15,CA                  ,40251,                  ,
179207,19,CA                  ,40251,                  ,
179208,44,CA                  ,40225,                  ,
179209,45,CA                  ,40225,                  ,
179210,26,CA                  ,40243,                  ,
