facility_id,population,category,dma_rank,p_open,coin,value_per_pop,noise
67866,6620511.0,1,0.8243027345901514,375907500.0,0.9649292697967965,116.22851400792935,4.788037067560964
14322,9856262.0,1,0.8243027345901514,444397500.0,0.9649292697967965,116.22851400792935,4.788037067560964
73207,7329889.0,1,0.8243027345901514,364006800.0,0.9649292697967965,116.22851400792935,4.788037067560964
47535,20338490.0,0,0.8243027345901514,854915400.0,0.9895619970785762,550.3505101621704,2.839878402917667
48477,17655414.0,1,0.8243027345901514,774503100.0,0.9649292697967965,116.22851400792935,4.788037067560964
20818,13990068.0,1,0.8243027345901514,624506400.0,0.9649292697967965,116.22851400792935,4.788037067560964
74156,16748933.0,1,0.8243027345901514,845558100.0,0.9649292697967965,116.22851400792935,4.788037067560964
67993,10979519.0,1,0.8243027345901514,682858800.0,0.9649292697967965,116.22851400792935,4.788037067560964
74215,19476238.0,1,0.8243027345901514,836596800.0,0.9649292697967965,116.22851400792935,4.788037067560964
70493,5605697.0,1,0.8243027345901514,482895900.0,0.9649292697967965,116.22851400792935,4.788037067560964
60018,3954226.0,1,0.5332413394420835,318781800.0,0.9649292697967965,116.22851400792935,4.788037067560964
39884,7530485.0,1,0.7093572754342108,561156300.0,0.9649292697967965,116.22851400792935,4.788037067560964
7623,7470544.0,1,0.7093572754342108,465183000.0,0.9649292697967965,116.22851400792935,4.788037067560964
36989,5122701.0,1,0.7093572754342108,486339300.0,0.9649292697967965,116.22851400792935,4.788037067560964
9739,5336458.0,1,0.7093572754342108,385703100.0,0.9649292697967965,116.22851400792935,4.788037067560964
48465,9048369.0,1,0.7093572754342108,580503600.0,0.9649292697967965,116.22851400792935,4.788037067560964
191340,4425725.0,1,0.7093572754342108,324135900.0,0.9649292697967965,116.22851400792935,4.788037067560964
