,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
1789,136,"Rockford, IL",73940,WREX,13,DT,143,1833590.0,16193,265521,143381340.0,"$83,639,115 ",,HVHF
1790,136,"Rockford, IL",72945,WTVO,16,DT,201,1401027.0,16781,275170,247653000.0,"$185,739,750 ","$99,061,200 ",UHF
1791,137,"Monroe, LA-El Dorado, AR",3658,KARD,36,DT,94,648764.0,7809,128052,115246800.0,"$86,435,100 ","$46,098,720 ",UHF
1792,137,"Monroe, LA-El Dorado, AR",92872,KETZ,10,DT,75,512619.0,6201,101673,54903420.0,"$32,026,995 ",,HVHF
1793,137,"Monroe, LA-El Dorado, AR",38585,KLMB-LP,23,CA,32,31253.0,1000,16398,14758200.0,"$11,068,650 ","$5,903,280 ",UHF
1794,137,"Monroe, LA-El Dorado, AR",38589,KLTM-TV,13,DT,78,667111.0,7214,118284,63873360.0,"$37,259,460 ",,HVHF
1795,137,"Monroe, LA-El Dorado, AR",38584,KMCT-TV,38,DT,58,269340.0,3952,64810,58329000.0,"$43,746,750 ","$23,331,600 ",UHF
1796,137,"Monroe, LA-El Dorado, AR",52046,KMLU,11,DT,83,694440.0,7592,124490,67224600.0,"$39,214,350 ",,HVHF
1797,137,"Monroe, LA-El Dorado, AR",48975,KNOE-TV,8,DT,93,728922.0,8233,135009,72904860.0,"$42,527,835 ",,HVHF
1798,137,"Monroe, LA-El Dorado, AR",35692,KTVE,27,DT,106,607029.0,8022,131534,118380600.0,"$88,785,450 ","$47,352,240 ",UHF
1799,138,"Columbia-Jefferson City, MO",63164,KMIZ,17,DT,49,548262.0,5183,84991,76491900.0,"$57,368,925 ","$30,596,760 ",UHF
1800,138,"Columbia-Jefferson City, MO",48521,KNLJ,20,DT,67,641341.0,6555,107488,96739200.0,"$72,554,400 ","$38,695,680 ",UHF
1801,138,"Columbia-Jefferson City, MO",65583,KOMU-TV,8,DT,56,537913.0,5488,89997,48598380.0,"$28,349,055 ",,HVHF
1802,138,"Columbia-Jefferson City, MO",41110,KRCG,12,DT,63,652424.0,6411,105127,56768580.0,"$33,115,005 ",,HVHF
1805,139,"Minot-Bismarck-Dickinson, ND",53329,KDSE,9,DT,30,41429.0,1115,18281,9871740.0,"$5,758,515 ",,HVHF
1808,139,"Minot-Bismarck-Dickinson, ND",41425,KMOT,10,DT,33,79346.0,1618,26534,14328360.0,"$8,358,210 ",,HVHF
1811,139,"Minot-Bismarck-Dickinson, ND",41430,KQCD-TV,7,DT,26,33272.0,930,15251,8235540.0,"$4,804,065 ",,HVHF
1813,139,"Minot-Bismarck-Dickinson, ND",41429,KUMV-TV,8,DT,17,41011.0,835,13692,7393680.0,"$4,312,980 ",,HVHF
1814,139,"Minot-Bismarck-Dickinson, ND",53318,KWSE,11,DT,32,53052.0,1303,21365,11537100.0,"$6,729,975 ",,HVHF
1816,139,"Minot-Bismarck-Dickinson, ND",55686,KXMB-TV,12,DT,29,138290.0,2003,32838,17732520.0,"$10,343,970 ",,HVHF
1817,139,"Minot-Bismarck-Dickinson, ND",55685,KXMC-TV,13,DT,29,89349.0,1610,26395,14253300.0,"$8,314,425 ",,HVHF
1825,140,"Medford-Klamath Falls, OR",60736,KDRV,12,DT,48,431798.0,4553,74652,40312080.0,"$23,515,380 ",,HVHF
1828,140,"Medford-Klamath Falls, OR",8260,KOBI,5,DT,67,522427.0,5916,97013,21827925.0,,,LVHF
1830,140,"Medford-Klamath Falls, OR",61350,KSYS,8,DT,55,441536.0,4928,80806,43635240.0,"$25,453,890 ",,HVHF
1831,140,"Medford-Klamath Falls, OR",22570,KTVL,10,DT,36,358984.0,3595,58948,31831920.0,"$18,568,620 ",,HVHF
1832,141,"Duluth, MN-Superior, WI",33658,KBJR-TV,19,DT,49,271500.0,3647,59808,53827200.0,"$40,370,400 ","$21,530,880 ",UHF
1834,141,"Duluth, MN-Superior, WI",4691,KDLH,33,DT,46,260776.0,3463,56793,51113700.0,"$38,335,275 ","$20,445,480 ",UHF
1835,141,"Duluth, MN-Superior, WI",35525,KQDS-TV,17,DT,55,302026.0,4076,66832,60148800.0,"$45,111,600 ","$24,059,520 ",UHF
1836,141,"Duluth, MN-Superior, WI",82698,KRII,11,DT,25,130796.0,1808,29651,16011540.0,"$9,340,065 ",,HVHF
1837,141,"Duluth, MN-Superior, WI",71338,WDIO-DT,10,DT,48,325482.0,3953,64813,34999020.0,"$20,416,095 ",,HVHF
1838,141,"Duluth, MN-Superior, WI",17726,WDSE,8,DT,45,308438.0,3726,61090,32988600.0,"$19,243,350 ",,HVHF
1839,141,"Duluth, MN-Superior, WI",71336,WIRT-DT,13,DT,33,125258.0,2033,33338,18002520.0,"$10,501,470 ",,HVHF
1841,142,"Beaumont-Port Arthur, TX",10150,KBMT,12,DT,56,741674.0,6445,105677,57065580.0,"$33,288,255 ",,HVHF
1842,142,"Beaumont-Port Arthur, TX",61214,KBTV-TV,40,DT,55,714413.0,6268,102786,92507400.0,"$69,380,550 ","$37,002,960 ",UHF
1843,142,"Beaumont-Port Arthur, TX",22589,KFDM,25,DT,54,677858.0,6050,99208,89287200.0,"$66,965,400 ","$35,714,880 ",UHF
1844,142,"Beaumont-Port Arthur, TX",12896,KITU-TV,33,DT,63,709167.0,6684,109603,98642700.0,"$73,982,025 ","$39,457,080 ",UHF
1845,143,"Salisbury, MD",71218,WBOC-TV,21,DT,110,783353.0,9283,152214,136992600.0,"$102,744,450 ","$54,797,040 ",UHF
1846,143,"Salisbury, MD",40618,WCPB,28,DT,86,498887.0,6550,107406,96665400.0,"$72,499,050 ","$38,666,160 ",UHF
1847,143,"Salisbury, MD",16455,WMDT,47,DT,97,718144.0,8346,136858,123172200.0,"$92,379,150 ","$49,268,880 ",UHF
1849,144,"Lubbock, TX",27507,KCBD,11,DT,41,412714.0,4114,67452,36424080.0,"$21,247,380 ",,HVHF
1859,145,"Odessa-Midland, TX",6865,KOSA-TV,7,DT,39,338068.0,3631,59541,32152140.0,"$18,755,415 ",,HVHF
1864,145,"Odessa-Midland, TX",42007,KWES-TV,9,DT,48,410998.0,4442,72832,39329280.0,"$22,942,080 ",,HVHF
