FacID,Volume
9635,57034
2708,54105
4150,59770
2711,3299
18798,54355
5981,80620
71329,67311
15507,42202
24813,60593
168095,12199
70251,53637
73988,62755
57840,59762
24812,56648
168403,47315
53004,39230
81441,5281
36918,67724
30601,53737
44052,48816
48663,42575
11908,48626
2722,47041
2731,60470
78036,46672
63927,44581
25735,49040
35095,51407
67792,94779
82627,47546
9908,33653
69273,246886
16530,56936
72052,110666
21735,119108
41221,73489
21737,108550
33710,51916
51502,50177
46753,1780
29102,52053
78915,54749
56527,52691
82619,32988
81509,36266
29100,13425
70417,5004
66221,53564
8661,58128
58684,36124
