DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
140,"Medford-Klamath Falls, OR",8309,K32DY-D,32,DC,24," 215,648 ",2275,37304,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",5011,K47GI-D,47,DC,19," 70,872 ",1160,19028,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",83306,KBLN-TV,30,DT,27," 134,931 ",1909,31298,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",60740,KDKF,29,DT,6," 64,574 ",622,10207,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",60736,KDRV,12,DT,48," 431,798 ",4553,74652,"$40,312,080 ","$23,515,380 ",NA
140,"Medford-Klamath Falls, OR",61335,KFTS,33,DT,7," 64,968 ",674,11058,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",32958,KMVU-DT,26,DT,26," 231,498 ",2453,40229,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",8260,KOBI,5,DT,67," 522,427 ",5916,97013,"$21,827,925 ",NA,NA
140,"Medford-Klamath Falls, OR",8284,KOTI,13,DT,15," 96,963 ",1206,19776,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",61350,KSYS,8,DT,55," 441,536 ",4928,80806,"$43,635,240 ","$25,453,890 ",NA
140,"Medford-Klamath Falls, OR",22570,KTVL,10,DT,36," 358,984 ",3595,58948,"$31,831,920 ","$18,568,620 ",NA
141,"Duluth, MN-Superior, WI",33658,KBJR-TV,19,DT,49," 271,500 ",3647,59808,"$53,827,200 ","$40,370,400 ","$21,530,880 "
141,"Duluth, MN-Superior, WI",166511,KCWV,27,DT,29," 206,592 ",2448,40136,Not Needed,Not Needed,Not Needed
141,"Duluth, MN-Superior, WI",4691,KDLH,33,DT,46," 260,776 ",3463,56793,"$51,113,700 ","$38,335,275 ","$20,445,480 "
141,"Duluth, MN-Superior, WI",35525,KQDS-TV,17,DT,55," 302,026 ",4076,66832,"$60,148,800 ","$45,111,600 ","$24,059,520 "
141,"Duluth, MN-Superior, WI",82698,KRII,11,DT,25," 130,796 ",1808,29651,"$16,011,540 ","$9,340,065 ",NA
